ticker,name,name_simple,average_comments,exclusion
BA,Boeing Company,Boeing,28.6916666666666,0
BAC,Bank of America Corp,Bank of America,22.9166666666666,0
BALL,Ball Corporation,Ball Corp,1.95,0
BAX,Baxter International Inc.,Baxter International,1.93023255813953,0
BBWI,Bath & Body Works Inc.,Bath & Body Works,2.72727272727272,0
BBY,Best Buy Co. Inc.,Best Buy,6.94642857142857,0
BDX,Becton Dickinson and Company,Becton Dickinson,2.08510638297872,0
BDX,Becton Dickinson and Company,Becton,2.08510638297872,0
BEN,Franklin Resources Inc.,Franklin Resources,2.13043478260869,0
BF.B,Brown-Forman Corporation Class B,Brown-Forman,1.53571428571428,0
BIIB,Biogen Inc.,Biogen,5.0,0
BIO,Bio-Rad Laboratories Inc. Class A,Bio-Rad,2.02325581395348,0
BK,Bank of New York Mellon Corp,Bank of New York,4.43333333333333,0
BKNG,Booking Holdings Inc.,Booking,6.42307692307692,0
BKR,Baker Hughes Company Class A,Baker Hughes,3.04761904761904,0
BLK,BlackRock Inc.,BlackRock,14.1864406779661,0
BMY,Bristol-Myers Squibb Company,Bristol-Myers Squibb,4.51219512195121,0
BR,Broadridge Financial Solutions Inc.,Broadridge Financial,2.33333333333333,0
BRK.B,Berkshire Hathaway Inc. Class B,Berkshire Hathaway,13.6470588235294,0
BRO,Brown & Brown Inc.,Brown & Brown,1.6551724137931,0
BRO,Brown & Brown Inc.,B&B,1.6551724137931,0
BSX,Boston Scientific Corporation,Boston Scientific,1.75438596491228,0
BWA,BorgWarner Inc.,BorgWarner,1.93333333333333,0
BXP,Boston Properties Inc.,Boston Properties,1.46428571428571,0
C,Citigroup Inc.,Citi,49.3916666666666,0
C,Citigroup Inc.,Citigroup,49.3916666666666,0
CAG,Conagra Brands Inc.,Conagra,3.15384615384615,0
CAH,Cardinal Health Inc.,Cardinal Health,2.3695652173913,0
CARR,Carrier Global Corp.,Carrier Global,3.0,1
CAT,Caterpillar Inc.,Caterpillar,6.47321428571428,0
CB,Chubb Limited,Chubb,2.35802469135802,0
CBOE,Cboe Global Markets Inc,Cboe Global,3.89320388349514,0
CBRE,CBRE Group Inc. Class A,CBRE Group,1.78787878787878,0
CCI,Crown Castle Inc.,Crown,5.81904761904761,0
CCL,Carnival Corporation,Carnival Corp,12.8082191780821,0
